.-.----.... (a's)
.--...---..-..---.... (wijfjes)
.--...---..-..---...........-. (wijfjesbeer)
.--...---..-..---.......-..-.-.- (wijfjesvink)
.--...---..-..---.......----... (wijfjesvos)
.--...----.- (wijk)
.--...----.-.-. (wijken)
.--...----.---......---..-.-- (wijkgebouw)
.--...----.---......---..-.--.-. (wijkgebouwen)
.--...----.-......-..... (wijkhuis)
.--...----.-......-..--...-. (wijkhuizen)
.--...----.---.....-..-. (wijkmeester)
.--...----.---.....-..-.... (wijkmeesters)
.--...----.-.--..-...-.--... (wijkplaats)
.--...----.-.--..-...-.--....-. (wijkplaatsen)
.--...----.-...-..-...-...--...-.--. (wijkvereeniging)
.--...----.-...-..-...-...--...-.--..-. (wijkvereenigingen)
.--...----.-...-..-..--..-....--....-..-. (wijkverpleegster)
.--...----.-...-..-..--..-....--....-..-.... (wijkverpleegsters)
.--...----.-...-..-..--..-...--...-.--. (wijkverpleging)
.--...----.-.--.-...- (wijkwast)
.--...----.-.--.-...-.-. (wijkwasten)
.--...----.---....-...-..-. (wijkzuster)
.--...----.---....-...-..-.... (wijkzusters)
.--...---.-.. (wijl)
.--...---.-... (wijle)
.--...---.-...-. (wijlen)
.--...----. (wijn)
.--...----..--.-.....-..--. (wijnachtig)
.--...----..--.-.....-..--...-. (wijnachtiger)
.--...----..--.-.....-..--....- (wijnachtigst)
.--...----..-.--..--...-.. (wijnappel)
.--...----..-.--..--...-...-. (wijnappelen)
.--...----..---.....----. (wijnazijn)
.--...----.......-.--. (wijnberg)
.--...----.......-.--..-. (wijnbergen)
.--...----.....---..-.-- (wijnbouw)
.--...----.....---..-.--..-. (wijnbouwer)
.--...----.....---..-.--..-.... (wijnbouwers)
.--...----..-. (wijnen)
.--...----...-..-......-.-..... (wijnflesch)
.--...----...-..-.........-.-......-. (wijnflesschen)
.--...----.--..-.-.-.-.. (wijngaard)
.--...----.--..-.-.-.-...-. (wijngaarden)
.--...----.--..-.-.-.-...-.....-. (wijngaardenier)
.--...----.--..-.-.-.-...-.....-.... (wijngaardeniers)
.--...----.--......- (wijngeest)
.--...----.--..-...-... (wijnglas)
.--...----.--..-...---...-. (wijnglazen)
.--...----.--..-.-----. (wijngrog)
.--...----......--.-....-.. (wijnhandel)
.--...----.-.-.-.-..-..-. (wijnkaraf)
.--...----.-.-.-.-..-..-...-..-. (wijnkaraffen)
.--...----.-.-..-..-....-. (wijnkelder)
.--...----.-.-..-..-....-.... (wijnkelders)
.--...----.-.-..-..-.- (wijnkelk)
.--...----.-.-..-..-.-.-. (wijnkelken)
.--...----.-.-.-.-...-. (wijnkenner)
.--...----.-.-.-.-...-.... (wijnkenners)
.--...----.-.-------.--...-. (wijnkooper)
.--...----.-.-------.--...-....--- (wijnkooperij)
.--...----.-.-------.--...-....---.-. (wijnkooperijen)
.--...----.-.-------.--...-.... (wijnkoopers)
.--...----..-...--...-. (wijnlezen)
.--...----..-...--....-. (wijnlezer)
.--...----..-...--....-.... (wijnlezers)
.--...----..-...--....-.--. (wijnlezing)
.--...----..-...--....-.--..-. (wijnlezingen)
.--...----.--.-.--.-.. (wijnmaand)
.--...----.--.-.-- (wijnmaat)
.--...----.--.--.-. (wijnmaten)
.--...----.--------....- (wijnoogst)
.--...----.--------....-.-. (wijnoogsten)
.--...----..--..--.-......-..... (wijnpakhuis)
.--...----..--..--.-......-..--...-. (wijnpakhuizen)
.--...----..--.....-....-. (wijnpeiler)
.--...----..--.....-....-.... (wijnpeilers)
.--...----..--...-.... (wijnpers)
.--...----..--...-.....-. (wijnpersen)
.--...----..--..-.---...-. (wijnproef)
.--...----..--..-.---....-.-. (wijnproeven)
.--...----..--..-.---....-..-. (wijnproever)
.--...----..--..-.---....-..-.... (wijnproevers)
.--...----..-..--.-.- (wijnrank)
.--...----..-..--.-.-.-. (wijnranken)
.--...----..-.---....-. (wijnroeien)
.--...----..-.---.....-. (wijnroeier)
.--...----..-.---.....-.... (wijnroeiers)
.--...----....---..--. (wijnsoep)
.--...----....-..-. (wijnsteen)
.--...----....-..-.--....-..-.-. (wijnsteenzuur)
.--...----....-----.- (wijnstok)
.--...----....-----.--.-.-. (wijnstokken)
.--...----.-.---. (wijntje)
.--...----.-.---.... (wijntjes)
.--...----....-.-- (wijnvat)
.--...----....-.--.-. (wijnvaten)
.--...----....-..-..-...--..-. (wijnverlater)
.--...----....-..-..-...--..-.... (wijnverlaters)
.--...----....-..-....-.-.-.....-.-.......-. (wijnvervalscher)
.--...----....-..-....-.-.-.....-.-.......-.... (wijnvervalschers)
.--...----....-.-...-.- (wijnvlek)
.--...----....-.-...-.--.-.-. (wijnvlekken)
.--...---... (wijs)
.--...---........--....-.-. (wijsbegeerte)
.--...---.....-.....----.- (wijselijk)
.--...---...--....-. (wijsgeer)
.--...---...--....-..-. (wijsgeeren)
.--...---...--....-...--. (wijsgeerig)
.--...---...--....-...--...-. (wijsgeeriger)
.--...---...--....-...--........-.. (wijsgeerigheid)
.--...---...--....-...--....- (wijsgeerigst)
.--...---...--....-.-.---. (wijsgeertje)
.--...---...--....-.-.---.... (wijsgeertjes)
.--...---...--..--.-.--.-- (wijsgemaakt)
.--...---........-...-. (wijsheden)
.--...---..........-.. (wijsheid)
.--...---.......------..-.-.. (wijshoofd)
.--...---.......------..-.-...-. (wijshoofden)
.--...---....---. (wijsje)
.--...---....---.... (wijsjes)
.--...---...--.--.-.-. (wijsmaken)
.--...---...-....-... (wijsneus)
.--...---...-....-....---. (wijsneusje)
.--...---...-....-....---.... (wijsneusjes)
.--...---...-....---...-. (wijsneuzen)
.--...---...-....---....--. (wijsneuzig)
.--...---...-....---....--...-. (wijsneuziger)
.--...---...-....---....--....- (wijsneuzigst)
.--...---...- (wijst)
.--...---......-..-.--...-. (wijsvinger)
.--...---......-..-.--...-.... (wijsvingers)
.--...----.-. (wijten)
.--...----..-.--. (wijting)
.--...----..-.--..-. (wijtingen)
.--...---...-.-. (wijven)
.--...---...-.-..--..-..-.-- (wijvenpraat)
.--...---.--.--..-. (wijwater)
.--...---.--.--..-......--.-.---. (wijwaterbakje)
.--...---.--.--..-......--.-.---.... (wijwaterbakjes)
.--...---.--.--..-.-.-.--.-...- (wijwaterkwast)
.--...---.--.--..-.-.-.--.-...-.-. (wijwaterkwasten)
.--...---.--.--..-....-.-- (wijwatervat)
.--...---.--.--..-....-.--.-. (wijwatervaten)
.--...-----... (wijze)
.--...-----...-. (wijzen)
.--...-----....-. (wijzer)
.--...-----....-......-.-.-----.-..-. (wijzerbarometer)
.--...-----....-......-.-.-----.-..-.... (wijzerbarometers)
.--...-----....-..--..-...-.-- (wijzerplaat)
.--...-----....-..--..-...--.-. (wijzerplaten)
.--...-----....-.... (wijzers)
.--...-----....-.-.---. (wijzertje)
.--...-----....-.-.---.... (wijzertjes)
.--...-----....--.-... (wijzigde)
.--...-----....--..-. (wijzigen)
.--...-----....--...-.--. (wijziging)
.--...-----....--...-.--..-. (wijzigingen)
.--..-.- (wik)
.--..-.--....-.-.-....-.--..--..-..-------..-. (wik-en-weegloonen)
.--..-.---...-..-.. (wikgeld)
.--..-.--.-. (wikke)
.--..-.--.-..-..-... (wikkelde)
.--..-.--.-..-...-. (wikkelen)
.--..-.--.-.-. (wikken)
.--..-.--.-.-....-.-.------ (wikkenstroo)
.--..-.--.-..-.--. (wikking)
.--..-.--. (wikte)
.--...-.. (wil)
.--...-..-.. (wild)
.--...-..-...--.-.....-..--. (wildachtig)
.--...-..-.......-..-.--.. (wildbraad)
.--...-..-..-.......-. (wilddief)
.--...-..-..-........-.-. (wilddieven)
.--...-..-... (wilde)
.--...-..-........-..-... (wildebras)
.--...-..-........-..-.......-. (wildebrassen)
.--...-..-....-....-.--. (wildeling)
.--...-..-....-....-.--..-. (wildelingen)
.--...-..-...--.--. (wildeman)
.--...-..-...--.--.-..-. (wildemannen)
.--...-..-...--.--.... (wildemans)
.--...-..-...-. (wilden)
.--...-..-....-. (wilder)
.--...-..-....-.-...... (wildernis)
.--...-..-....-.-..........-. (wildernissen)
.--...-..-.........-.. (wildheid)
.--...-..-...--..-...-... (wildpastei)
.--...-..-...--..-...-....-. (wildpasteien)
.--...-..-.....-.-.......-- (wildschut)
.--...-..-.....-.-.......---.-. (wildschutten)
.--...-..-.....- (wildst)
.--...-..-.....-.--.--. (wildvang)
.--...-..-.....-.--.--..-. (wildvangen)
.--...-..-.....-.-...---.. (wildvreemd)
.--...-..-..--...--.--. (wildzang)
.--...-..-..--...--.--..-. (wildzangen)
.--...-..--. (wilg)
.--...-..--.......-...--.. (wilgeblad)
.--...-..--.......-...--...-. (wilgebladen)
.--...-..--.......-...--....-..-. (wilgebladeren)
.--...-..--......-------- (wilgeboom)
.--...-..--......--------.-. (wilgeboomen)
.--...-..--......--------.--..---. (wilgeboompje)
.--...-..--......--------.--..---.... (wilgeboompjes)
.--...-..--...-..------- (wilgeloot)
.--...-..--...-..----.-. (wilgeloten)
.--...-..--..-. (wilgen)
.--...-..--..-......-..---.....-- (wilgenbloesem)
.--...-..--..-.....---...-.-..... (wilgenbosch)
.--...-..--..-.....---......-.-......-. (wilgenbosschen)
.--...-..--..-.....---..-- (wilgenhout)
.--...-..--..-..-...-.--. (wilgenlaan)
.--...-..--..-..-...--..-. (wilgenlanen)
.--...-..--..-..-..------...-..-. (wilgenloover)
.--...-..--..-.--...--.--- (wilgenzwam)
.--...-..--..-.--.- (wilgetak)
.--...-..--..-.--.-.---. (wilgetakje)
.--...-..--..-.--.-.---.... (wilgetakjes)
.--...-..--..-.--.--.-.-. (wilgetakken)
.--...-..--..---. (wilgje)
.--...-..--..---.... (wilgjes)
.--...-...-...-.-...-.-. (willekeur)
.--...-...-...-.-...-.-...--. (willekeurig)
.--...-...-...-.-...-.-...--...-. (willekeuriger)
.--...-...-...-.-...-.-...--......-...-. (willekeurigheden)
.--...-...-...-.-...-.-...--........-.. (willekeurigheid)
.--...-...-...-.-...-.-...--....- (willekeurigst)
.--...-...-....-..------... (willeloos)
.--...-...-....-..------..........-.. (willeloosheid)
.--...-...-....-..--------....-. (willeloozer)
...-...-...--...---.-.-... (Willemsorde)
.--...-...-...-. (willen)
.--...-...-...-.... (willens)
.--...-...-...-.---. (willetje)
.--...-...-....--. (willig)
.--...-...-....--.-... (willigde)
.--...-...-....--..-. (willigen)
.--...-...-....--...-. (williger)
.--...-...-....--........-.. (willigheid)
.--...-...-....--....- (willigst)
.--...-.....-.-.-..--.-.....- (wilskracht)
.--..--.--...-.. (wimpel)
.--..--.--...-..-... (wimpelde)
.--..--.--...-..--.--. (wimpelman)
.--..--.--...-..--.--.-..-. (wimpelmannen)
.--..--.--...-..... (wimpels)
.--..--.--...-.....-----.- (wimpelstok)
.--..--.--...-.....-----.--.-.-. (wimpelstokken)
.--..--.--...-..-.---. (wimpeltje)
.--..--.--...-..-.---.... (wimpeltjes)
.--..--.--...-. (wimper)
.--..--.--...-.... (wimpers)
.--..--.--...-.-.---. (wimpertje)
.--..--.--...-.-.---.... (wimpertjes)
.--..-......-.-.-. (winbaar)
.--..-......-.-.-.-....-. (winbaarder)
.--..-......-.-.-....- (winbaarst)
.--..-.-.. (wind)
.--..-.-...-... (windas)
.--..-.-...-.......-. (windassen)
.--..-.-......-------- (windboom)
.--..-.-......--------.-. (windboomen)
.--..-.-.......-..-.-.-. (windbreken)
.--..-.-.......-..-.-.-.-.. (windbrekend)
.--..-.-.......-..-.-..-. (windbreker)
.--..-.-.......-..-.-..-....--- (windbrekerij)
.--..-.-.......-..-.-..-....---.-. (windbrekerijen)
.--..-.-.......-..-.-..-.... (windbrekers)
.--..-.-........-...-.. (windbuil)
.--..-.-........-...-...-. (windbuilen)
.--..-.-........-...-..-.---. (windbuiltje)
.--..-.-........-...-..-.---.... (windbuiltjes)
.--..-.-... (winde)
.--..-.-..... (windei)
.--..-.-.......-..-. (windeieren)
.--..-.-....-.. (windel)
.--..-.-....-...-. (windelen)
.--..-.-....-..... (windels)
.--..-.-...-. (winden)
.--..-.-....-. (winder)
.--..-.-....-...--. (winderig)
.--..-.-....-...--...-. (winderiger)
.--..-.-....-...--........-.. (winderigheid)
.--..-.-....-...--....- (winderigst)
.--..-.-....-.... (winders)
.--..-.-..--..-- (windgat)
.--..-.-..--..--.-. (windgaten)
.--..-.-.......--.-....-.. (windhandel)
.--..-.-......---.-.- (windhoek)
.--..-.-......---.-.-.-. (windhoeken)
.--..-.-......----.-.. (windhond)
.--..-.-......----.-...-. (windhonden)
.--..-.-......------... (windhoos)
.--..-.-......--------...-. (windhoozen)
.--..-.-....--. (windig)
.--..-.-....--...-. (windiger)
.--..-.-....--....- (windigst)
.--..-.-....-.--. (winding)
.--..-.-....-.--..-. (windingen)
.--..-.-...---. (windje)
.--..-.-...---.... (windjes)
.--..-.-..-.-.--.- (windkant)
.--..-.-..-.-.-..-.. (windketel)
.--..-.-..-.-.-..-..... (windketels)
.--..-.-..--.--.-..-. (windmaker)
.--..-.-..--.--.-..-.... (windmakers)
.--..-.-..-----.-...-. (windmolen)
.--..-.-..-----.-...-.... (windmolens)
.--..-.-...-....--. (windreep)
.--..-.-...-....--..-. (windreepen)
.--..-.-...-.---..-. (windroer)
.--..-.-...-.---..-..-. (windroeren)
.--..-.-...-.------... (windroos)
.--..-.-...-.-----...-. (windrozen)
.--..-.-.......-.. (windsel)
.--..-.-.......-...-. (windselen)
.--..-.-.......-..... (windsels)
.--..-.-.......-..-.---. (windseltje)
.--..-.-.......-..-.---.... (windseltjes)
.--..-.-......--..-.--.- (windspaak)
.--..-.-......--..--.-.-. (windspaken)
.--..-.-......--....-.. (windspil)
.--..-.-......--....-...-...-. (windspillen)
.--..-.-.....-...-.. (windstil)
.--..-.-.....-...-..-. (windstilte)
.--..-.-.....-.-.--. (windvaan)
.--..-.-.....-.-.--.-.---. (windvaantje)
.--..-.-.....-.-.--.-.---.... (windvaantjes)
.--..-.-.....-.--..-. (windvanen)
.--..-.-.....-.--.--. (windvang)
.--..-.-.....-.-...-.---. (windvlaag)
.--..-.-.....-.-...---..-. (windvlagen)
.--..-.-...--.-.-.-.-... (windwaarts)
.--..-.-...--..-.-.- (windwerk)
.--..-.-...--...-----....-. (windwijzer)
.--..-.-...--...-----....-.... (windwijzers)
.--..-.-..--...--.- (windzak)
.--..-.-..--...--.-.---. (windzakje)
.--..-.-..--...--.-.---.... (windzakjes)
.--..-.-..--...--.--.-.-. (windzakken)
.--..-.--...-.-.. (wingerd)
.--..-.--...-.-...-. (wingerden)
.--..-.--...-.-..... (wingerds)
.--..-.--...--....- (wingewest)
.--..-.--...--....-.-. (wingewesten)
.--..-.-.-..-.. (winkel)
.--..-.-.-..-.......-.....-.-... (winkelbediende)
.--..-.-.-..-.......-.....-.-...-. (winkelbedienden)
.--..-.-.-..-..-... (winkelde)
.--..-.-.-..-..-.....-.-. (winkeldeur)
.--..-.-.-..-..-.....-.-..-. (winkeldeuren)
.--..-.-.-..-..-..----.-.....-..-. (winkeldochter)
.--..-.-.-..-..-..----.-.....-..-.... (winkeldochters)
.--..-.-.-..-...-. (winkelen)
.--..-.-.-..-.......-.--.- (winkelhaak)
.--..-.-.-..-.......--.-.-. (winkelhaken)
.--..-.-.-..-........-..... (winkelhuis)
.--..-.-.-..-........-..--...-. (winkelhuizen)
.--..-.-.-..-......-. (winkelier)
.--..-.-.-..-......-.... (winkeliers)
.--..-.-.-..-......-....-..-. (winkelierster)
.--..-.-.-..-......-....-..-.... (winkeliersters)
.--..-.-.-..-...---..-..-...-..-.---..-.-- (winkeljuffrouw)
.--..-.-.-..-...---..-..-...-..-.---..-.--.-. (winkeljuffrouwen)
.--..-.-.-..-..-.-.-...- (winkelkast)
.--..-.-.-..-..-.-.-...-.-. (winkelkasten)
.--..-.-.-..-..-.--..-.-.....- (winkelknecht)
.--..-.-.-..-..-.--..-.-.....-... (winkelknechts)
.--..-.-.-..-...-...--... (winkellade)
.--..-.-.-..-...-...--...-. (winkelladen)
.--..-.-.-..-..-...-...-.--. (winkelnering)
.--..-.-.-..-..-...-...-.--..-. (winkelneringen)
.--..-.-.-..-...-..-.--- (winkelraam)
.--..-.-.-..-...-..---.-. (winkelramen)
.--..-.-.-..-..... (winkels)
.--..-.-.-..-.....-.-.......-.-..-.. (winkelschuld)
.--..-.-.-..-......-....-..-..-.--. (winkelsluiting)
.--..-.-.-..-.....-.--.-.. (winkelstand)
.--..-.-.-..-.....-.--.-...-. (winkelstanden)
.--..-.-.-..-..-.---. (winkeltje)
.--..-.-.-..-..-.---.... (winkeltjes)
.--..-.-.-..-.....-..-...-...--...-.--. (winkelvereeniging)
.--..-.-.-..-...--.-.-.-. (winkelwaar)
.--..-.-.-..-...--.-.-..-. (winkelwaren)
.--..-.-.-..-..--...-.--.- (winkelzaak)
.--..-.-.-..-..--...--.-.-. (winkelzaken)
.--..-.-.-.- (winket)
.--..-.-.-.--.-. (winketten)
.--..-.-..-.-.-. (winnaar)
.--..-.-..-.-.-.... (winnaars)
.--..-.-..-. (winnen)
.--..-.-...-. (winner)
.--..-.-...-.... (winners)
.--..-....- (winst)
.--..-....--....-.-.-....-...-..-..-.........-..-.-.-...-.--. (winst-en-verliesrekening)
.--..-....-......---.---. (winstbejag)
.--..-....--....-....-..-.--. (winstderving)
.--..-....--....-....-..-.--..-. (winstdervingen)
.--..-....-.-. (winsten)
.--..-....---.....-.-.-.. (winstgevend)
.--..-....-.---. (winstje)
.--..-....-.---.... (winstjes)
.--..-.-..-. (winter)
.--..-.-..-..-.-.-.-...-.--..--...-...-. (winteraardappelen)
.--..-.-..-..--.-.....-..--. (winterachtig)
.--..-.-..-..--.-.....-..--...-. (winterachtiger)
.--..-.-..-..--.-.....-..--....- (winterachtigst)
.--..-.-..-..-...-----.-.. (winteravond)
.--..-.-..-..-...-----.-...-. (winteravonden)
.--..-.-..-.-.-.----.-.-...-.- (winterconcert)
.--..-.-..-.-.-.----.-.-...-.-.-. (winterconcerten)
.--..-.-..-.-...---. (winterdag)
.--..-.-..-.-...---..-. (winterdagen)
.--..-.-..-.-...---.... (winterdags)
.--..-.-..-.-... (winterde)
.--..-.-..-.-.....-....- (winterdienst)
.--..-.-..-.-.....-....-.-. (winterdiensten)
.--..-.-..-.-...-..--.-.....- (winterdracht)
.--..-.-..-.-...-..--.-.....-.-. (winterdrachten)
.--..-.-..-..-. (winteren)
.--..-.-..-.--...-....- (wintergerst)
.--..-.-..-.--..--....-.-.....- (wintergezicht)
.--..-.-..-.--..--....-.-.....-.-. (wintergezichten)
.--..-.-..-.--..--....-.-.....-.---. (wintergezichtje)
.--..-.-..-.--..--....-.-.....-.---.... (wintergezichtjes)
.--..-.-..-.--.---.-.. (wintergoed)
.--..-.-..-.--.---.-....-..-. (wintergoederen)
.--..-.-..-.--..-.---.-.-.-. (wintergroenten)
.--..-.-..-......--.-...-. (winterhanden)
.--..-.-..-.....---.-.. (winterhoed)
.--..-.-..-.....---.-...-. (winterhoeden)
.--..-.-..-..---.-... (winterjas)
.--..-.-..-..---.-.......-. (winterjassen)
.--..-.-..-.-.-----...-.-.-.---. (winterkoninkje)
.--..-.-..-.-.-----...-.-.-.---.... (winterkoninkjes)
.--..-.-..-.-.----.-..-. (winterkoren)
.--..-.-..-.-.----...- (winterkost)
.--..-.-..-.-.----..--... (winterkoude)
.--..-.-..-.-.-.--.-.-.-....-. (winterkwartier)
.--..-.-..-.-.-.--.-.-.-....-..-. (winterkwartieren)
.--..-.-..-..-....-.--. (winterling)
.--..-.-..-.--.-.--.-.. (wintermaand)
.--..-.-..-.--.-.--.-...-. (wintermaanden)
.--..-.-..-.--.--.-..-.. (wintermantel)
.--..-.-..-.--.--.-..-..... (wintermantels)
.--..-.-..-.-..--.-.....- (winternacht)
.--..-.-..-.-..--.-.....-.-. (winternachten)
.--..-.-..-..--..-.-........ (winterpaleis)
.--..-.-..-..--..-.-.....--...-. (winterpaleizen)
.--..-.-..-..--..-.---...-........ (winterprovisie)
.--..-.-..-.... (winters)
.--..-.-..-....-.-..... (wintersch)
.--..-.-..-.......--..---.-. (winterseizoen)
.--..-.-..-.....-...-.-.--. (winterslaap)
.--..-.-..-....----..-. (winterstof)
.--..-.-..-....----..-...-..-. (winterstoffen)
.--..-.-..-.-..-. (winterteen)
.--..-.-..-.-..-..-. (winterteenen)
.--..-.-..-.-..-...-.--. (wintertering)
.--..-.-..-.-...----.. (wintertijd)
.--..-.-..-.-.---. (wintertje)
.--..-.-..-.-.---.... (wintertjes)
.--..-.-..-.--------. (wintertoon)
.--..-.-..-.--------..-. (wintertoonen)
.--..-.-..-.-..-..-. (wintertuin)
.--..-.-..-.-..-..-..-. (wintertuinen)
.--..-.-..-....-..-......-.....---..-. (winterverblijf)
.--..-.-..-....-..-......-.....---...-.-. (winterverblijven)
.--..-.-..-....-..-.--.-.--.- (wintervermaak)
.--..-.-..-....-..-.--.--.-.-. (wintervermaken)
.--..-.-..-....-..-.--...-. (wintervinger)
.--..-.-..-....-..-.--...-.... (wintervingers)
.--..-.-..-....----.-.-. (wintervoeten)
.--..-.-..-....-------.-..-..-.--.. (wintervoorraad)
.--..-.-..-....-------.-..-..--...-. (wintervoorraden)
.--..-.-..-..--.-....-. (winterweder)
.--..-.-..-..--...-. (winterweer)
.--..-.-..-.--..----. (winterzon)
.--..-.-..-.--..----.-..-.---. (winterzonnetje)
.--..-.--....--.-.....- (winzucht)
.--...--. (wip)
.--...--......-...---. (wipbrug)
.--...--......-...---.--..-. (wipbruggen)
.--...--.--..-.-..--. (wipgalg)
.--...--.--..-.-..--..-. (wipgalgen)
.--...--.....---..-- (wiphout)
.--...--.....---..--.-. (wiphouten)
.--...--..---. (wipje)
.--...--..---.... (wipjes)
.--...--.-----.-...-. (wipmolen)
.--...--.-----.-...-.... (wipmolens)
.--...--.-....-... (wipneus)
.--...--.-....-....---. (wipneusje)
.--...--.-....-....---.... (wipneusjes)
.--...--.-....---...-. (wipneuzen)
.--...--..--..-. (wippen)
.--...--..--...-. (wipper)
.--...--..--...-...--. (wipperig)
.--...--..--...-...--...-. (wipperiger)
.--...--..--...-...--....- (wipperigst)
.--...--..--...-.... (wippers)
.--...--..--...-.-.---. (wippertje)
.--...--..--...-.-.---.... (wippertjes)
.--...--..--..-...--.-.- (wipplank)
.--...--..--..-...--.-.-.-. (wipplanken)
.--...--....-.-.-.-.- (wipstaart)
.--...--....-.-.-.-.-.-. (wipstaarten)
.--...--.-. (wipte)
.--...--.-.-.-----. (wiptrog)
.--...--.-.-.-----.--..-. (wiptroggen)
.--..... (wis)
.--.....-.-..... (wisch)
.--.....-.-.....-..---.-.- (wischdoek)
.--.....-.-.....-..---.-.-.-. (wischdoeken)
.--.....-.-......---. (wischje)
.--.....-.-......---.... (wischjes)
.--.....-.-.....-. (wischte)
.--.....-.-..--.-... (wiskunde)
.--.....-.-..--.-....--. (wiskundig)
.--.....-.-..--.-....--.. (wiskundige)
.--.....-.-..--.-....--..-. (wiskundigen)
.--.....-.-..--....- (wiskunst)
.--.....-.-..--....-.-..-.-.-. (wiskunstenaar)
.--.....-.-..--....-.-..-.-.-.... (wiskunstenaars)
.--.....-.-..--....-..--. (wiskunstig)
.--......--...-..-..-.-...--. (wispelturig)
.--......--...-..-..-.-...--...-. (wispelturiger)
.--......--...-..-..-.-...--........-.. (wispelturigheid)
.--......--...-..-..-.-...--....- (wispelturigst)
.--........-.-......-. (wisschen)
.--........-.-.......-. (wisscher)
.--........-.-.......-.... (wisschers)
.--........-.-.......-....-.-.-..---... (wisschersklos)
.--........-.-.......-....-.-.-..---.......-. (wisschersklossen)
